,comment
180,엄마 유투브 어카운트로 뭘 본거지.. 넘 설래인다. 현실에 저런분들 있을까..?!
181,현실적으로 저 정도로 끼 부담스럽지 않게 잘 부리기 가능?.... 어장관리 자처라니... 너무 능글맞은데 미워할 수 없는 느낌 ㅋㅋㅋ
182,와 진짜 오에스티 장난 아니다 ㅠ 진짜 봄 느낌 물씬 ㅠ
183,솔직히 장기용 인생캐릭터는 이고..
184,ㅋㅋㅋㅋㅋ드라마니까 웃지 실제로 이런말 하면..감당안돼
185,Ce sourire ! Moi je fonds!
186,장기용....미친거지...진짜 사기캐........
187,어르신 그동안 많은 여자들을만나셨네요
188,다시봐도 귀여워서 겁나 갖고 싶다 ㅜ
189,세상에 이런 심쿵하게 하는 남자라니 ㅇㅅㅇ;;
190,"웹툰 알고있지만 드라마에 박재언 역으로도 잘 어울릴듯 행동이 비슷해 ,,"
191,아먼데이거재밌네ㅋㅋㅋ꽁냥꽁냥넘이쁘네요두분
192,귀여우면 가져야지. 으아아아앜 내심장
193,3:13 that nose crunch ♡(> ਊ <)♡
194,빵 터짐 내가 그날 잘했니 ㅋㅋㅋ
195,뭔가 싶어서 봤는데 남자분 목소리 미치셨네요... 눈감고 들어봄... 미쳤어......거기다 저런 멘트라니....
196,선잠 후연예가 있는 드라마ㅋㅋ흔치않지ㅎ
197,하지마 하지마 하지마 미치겠다고 하면서 내허벅지 졸라치는중 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
198,밑에 깔리는 노래 뭔지 아시는분 있으시면 알려주세요 ㅜㅜㅜ 1:55 여기용
199,"“아 미치겠다..”

이 영상 보면 이 말 밖에 안나와.."
200,미친 초스윗 ㅠㅠㅠㅠㅠㅠㅠ
201,오늘 처음 봤는데 사랑에 빠져버렸네
202,이런 연하남은 없다규~
203,작가 선생님 작가 선생님 존경합니다
204,저런 남자가 있다고???? 진짜 드라마다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
205,1:18 미친 웃는거 개설래
206,좋아 내 몸의 연애세포는 다 깨어났다... 이제 연애만 하면되는데....(주륵)
207,매력이!!!!막 펑펑 터지네 터져!!
